"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"665","Villa","Pemuteran","Indonesia","Villa Arun, Sumberkima Hill",1,262,FALSE,2023-08-21,2023-08-26,5,57,4.88,"Pemuteran, Indonesia"
"666","Apartment","Quận 4","Vietnam","DANNYs HIGH VIEW STUDIO near District1 Ben Thanh!",1,44,FALSE,2023-06-03,2023-06-08,5,167,4.78,"Quận 4, Vietnam"
"667","Apartment","Kuala Lumpur","Malaysia","Premier Lux Studio Large Tv Free Netflix City",2,28,TRUE,2023-06-01,2023-06-08,7,166,4.9,"Kuala Lumpur, Malaysia"
"668","Cabin","Tambon Ko Pha-ngan","Thailand","BOHO CABIN, Hin Kong Beachfront, West Coast.",1,177,FALSE,2023-07-07,2023-07-12,5,44,4.98,"Tambon Ko Pha-ngan, Thailand"
"669","Condo","Johor Bahru","Malaysia","RFStudio of Dual-Key Homely Getaway byⓗⓢ",2,57,FALSE,2023-06-04,2023-06-09,5,139,4.78,"Johor Bahru, Malaysia"
"670","Apartment","Bangkok","Thailand","Luxury Q Chidlom Condo, BTS ChitLom, Siam,",1,34,TRUE,2023-06-01,2023-06-08,7,61,4.79,"Bangkok , Thailand"
"671","Apartment","Tambon Kamala","Thailand","ACharming Pool Access One Bedroom Apartment",2,22,TRUE,2023-06-03,2023-06-08,5,68,4.82,"Tambon Kamala, Thailand"
"672","Villa","Seririt","Indonesia","Wake up to the Sea of Bali Beachfront luxury plus",8,194,FALSE,2023-10-10,2023-10-16,6,139,5,"Seririt, Indonesia"
"673","Apartment","Muang Pattaya","Thailand","18 2022 Newest! Downtown Lux Fun Sea View Condo",1,63,FALSE,2023-06-01,2023-06-06,5,27,5,"Muang Pattaya, Thailand"
"674","Cabin","Lazi","Philippines","Enchanted River cabin wprivate garden and kitchen",1,51,FALSE,2023-08-19,2023-08-24,5,127,4.85,"Lazi, Philippines"
"675","Condo","Cebu City","Philippines","Cozy City Condo at Horizons 101 W WIFI .",2,26,FALSE,2023-06-05,2023-06-10,5,220,4.44,"Cebu City, Philippines"
"676","Apartment","Tambon Patong","Thailand","SUNSET SEAVIEW DELUXE PATONG - POOLTERRACE",2,64,FALSE,2023-06-25,2023-06-30,5,159,4.8,"Tambon Patong, Thailand"
"677","Condo","Chiang Mai","Thailand","Cozy room 48.5 sq.m The Astra near Night market",2,45,FALSE,2023-06-07,2023-06-12,5,190,4.89,"Chiang Mai, Thailand"
"678","Condo","Melaka","Malaysia","B2733Seaview5mins to JonkerImperioStudio4pax",3,30,FALSE,2023-06-04,2023-06-10,6,230,4.71,"Melaka, Malaysia"
"679","Condo","Cyberjaya","Malaysia","Kanvas Soho KLIA FREE WIFI 500mbps",2,24,FALSE,2023-06-04,2023-06-09,5,410,4.8,"Cyberjaya, Malaysia"
"680","Loft","Jelutong","Malaysia","Maritime3The Rhythm of the Sea 日出无敌全海景",3,98,FALSE,2023-06-30,2023-07-05,5,93,4.56,"Jelutong, Malaysia"
"681","Villa","Phuket","Thailand","Waterfront Traditional Thai Style Pool Villa V7",1,41,FALSE,2023-06-01,2023-06-06,5,82,4.71,"Phuket, Thailand"
"682","Room","Tebet","Indonesia","The LOJI Patra Kuningan 3",2,24,FALSE,2023-06-30,2023-07-05,5,69,4.83,"Tebet, Indonesia"
"683","Villa","Pemuteran","Indonesia","Villa Arun, Sumberkima Hill",1,262,FALSE,2023-08-21,2023-08-26,5,57,4.88,"Pemuteran, Indonesia"
"684","Apartment","Quận 4","Vietnam","DANNYs HIGH VIEW STUDIO near District1 Ben Thanh!",1,44,FALSE,2023-06-03,2023-06-08,5,167,4.78,"Quận 4, Vietnam"
"685","Apartment","Pasay","Philippines","Comfy-Cozy-Cheap NAIA 3 near RW w NETFLIX",3,573,FALSE,2023-07-25,2023-07-30,5,692,4.86,"Pasay, Philippines"
"686","Condo","Manila","Philippines","50mbpsNETFLIX Your home in the heart of Manila",1,38,FALSE,2023-06-01,2023-06-06,5,159,4.73,"Manila, Philippines"
"687","Room","Khet Din Daeng","Thailand","Comfy Room with Bathroom near MRT Phra Ram 9",1,63,FALSE,2023-08-14,2023-08-19,5,72,4.99,"Khet Din Daeng, Thailand"
"688","Apartment","Patong","Thailand","Endless Patong Ocean View from a Hilltop Condominium, Phuket",4,100,FALSE,2023-06-01,2023-06-08,7,252,4.95,"Patong, Thailand"
"689","Villa","Uluwatu","Indonesia","Spectacular Ocean View Villa in Uluwatu, Bali",2,673,FALSE,2023-06-14,2023-06-19,5,143,4.94,"Uluwatu, Indonesia"
"690","Room","Kecamatan Ubud","Indonesia","Exclusive Villa, for Couples Looking To Relax",2,149,FALSE,2023-09-04,2023-09-09,5,62,4.85,"Kecamatan Ubud, Indonesia"
"691","Apartment","Tambon Patong","Thailand","1 BR Phuket Modern Luxury Living",1,44,FALSE,2023-06-06,2023-06-11,5,202,4.68,"Tambon Patong, Thailand"
"692","Apartment","Shah Alam","Malaysia","SETIA ALAM Big Luxury Comfort Homestay Trefoil",1,30,FALSE,2023-06-07,2023-06-12,5,171,4.87,"Shah Alam, Malaysia"
"693","Room","Ubud","Indonesia","Luxury Villa in Ubud",3,65,FALSE,2023-06-10,2023-06-15,5,54,4.91,"Ubud, Indonesia"
"694","Resort","Langkawi","Malaysia","S101 Beachfront Private Villa, A Resort by the Sea",2,49,FALSE,2023-06-04,2023-06-09,5,80,4.75,"Langkawi, Malaysia"
"695","Apartment","Kuala Lumpur","Malaysia","Admire Deluxe Marble Walls at a Highrise Resort Home",2,85,FALSE,2023-06-02,2023-06-07,5,135,4.85,"Kuala Lumpur, Malaysia"
"696","Condo","Melaka","Malaysia","B17065 mins drive to JonkerImperioStudio4pax",1,29,FALSE,2023-06-01,2023-06-07,6,195,4.79,"Melaka, Malaysia"
"697","Room","Kecamatan Ubud","Indonesia","Odesa Villa1 Ubud close to center",1,29,FALSE,2023-06-11,2023-06-16,5,9,5,"Kecamatan Ubud, Indonesia"
"698","Hotel room","Ubud","Indonesia","Malay villa, Best views in Ubud!",1,167,FALSE,2023-06-08,2023-06-13,5,119,4.77,"Ubud, Indonesia"
